file,num_points,time_enc_ns,time_dec_ns,enc_file_size_bits,bpp
T0-2550.ply,2550,13158899,10168446,19040,7.466666666666667
T1-13563.ply,13563,16125063,10915847,85232,6.284155422841554
T2-24081.ply,24081,23262837,12343140,142384,5.9127112661434325
T3-37614.ply,37614,33109321,17172038,217640,5.786143457223374
T4-48780.ply,48780,39876603,18781307,278096,5.7010250102501026
T5-58377.ply,58377,44595813,14465190,327856,5.616184456207068
T6-63867.ply,63867,22501968,6129943,356792,5.5864844129206
T7-67458.ply,67458,10554760,3930687,369296,5.474458181386937
T8-71085.ply,71085,10366218,4001026,374808,5.272673559822747
T9-75666.ply,75666,10722963,4459960,390048,5.15486480057093
T10-78525.ply,78525,10901703,4403603,396832,5.0535752944922
T11-85095.ply,85095,11541960,4755612,412392,4.846254186497444
T12-90561.ply,90561,12190359,4901682,438728,4.844557811861618
T13-96936.ply,96936,18308584,11541774,454984,4.693653544606751
T14-109467.ply,109467,28749480,9314186,491768,4.492385833173468
T15-120135.ply,120135,30682837,10444671,520888,4.335855495900446
T16-130767.ply,130767,22930393,6388205,562568,4.3020639763854795
T17-140880.ply,140880,18878731,6726907,609000,4.322827938671209
T18-152439.ply,152439,22544112,7433925,659448,4.325979572156731
T19-166962.ply,166962,21358605,7830607,723560,4.3336807177681145
T20-182937.ply,182937,53548295,16063259,789136,4.313703624745131
T21-193518.ply,193518,50892176,10916184,832160,4.300168459781519
T22-200538.ply,200538,102441464,50835298,857760,4.277294078927684
T23-204687.ply,204687,122336546,22056758,872912,4.264618661663906
T24-206772.ply,206772,139724522,51149494,880688,4.2592227187433505
T25-207267.ply,207267,110893794,49690427,882816,4.2593176916730595
T26-207702.ply,207702,109093257,44564747,884392,4.257984997737142
T27-209565.ply,209565,130403334,49839099,890848,4.250938849521628
T28-213033.ply,213033,57866318,9978829,903728,4.242197218271348
T29-217587.ply,217587,27714916,10564702,921400,4.234627987885306
T30-221697.ply,221697,30242986,9873659,937032,4.226633648628534
T31-224214.ply,224214,38550948,10731550,946632,4.222002194332201
T32-233019.ply,233019,32913011,19298980,986264,4.232547560499358
T33-241311.ply,241311,125068291,20409557,1021856,4.2346018208867395
T34-249378.ply,249378,34474412,11536115,1057000,4.238545501207003
T35-256830.ply,256830,33892206,11282233,1092000,4.251839738348324
T36-263379.ply,263379,34637861,11457054,1123456,4.265548885826129
T37-269877.ply,269877,34487093,11683748,1151688,4.267455174023722
T38-274713.ply,274713,33513648,11946568,1175488,4.278967504268091
T39-279141.ply,279141,36008591,12006144,1193680,4.276261817504415
T40-283179.ply,283179,35891530,12028032,1210600,4.275034518802594
T41-287733.ply,287733,35846814,12639687,1233616,4.287363632256294
T42-293688.ply,293688,38253360,12622950,1261104,4.294026313638963
T43-304794.ply,304794,38751963,13183377,1313264,4.308693740690433
T44-317250.ply,317250,39681173,13500248,1366872,4.308501182033097
T45-327447.ply,327447,40755353,13803294,1409848,4.305576169578588
T46-338292.ply,338292,41516604,15298927,1426800,4.217658117839027
T47-354018.ply,354018,47118664,15307385,1480712,4.182589585840268
T48-369408.ply,369408,47819477,15480985,1548800,4.192654192654192
T49-383916.ply,383916,49152522,16412688,1602376,4.173767178236906
T50-395757.ply,395757,49023836,16874362,1654000,4.17933226702244
T51-403947.ply,403947,52492267,16966366,1680160,4.159357539479189
T52-408798.ply,408798,52694800,16901019,1699256,4.156713095465242
T53-411516.ply,411516,50518773,17052815,1708424,4.151537242780353
T54-416148.ply,416148,51443489,17504628,1727104,4.150215788613666
T55-426330.ply,426330,52302098,17811102,1766400,4.143269298430793
T56-436425.ply,436425,54155128,18318051,1802968,4.131220713753795
T57-445266.ply,445266,55424577,18600142,1837192,4.1260549873558725
T58-454752.ply,454752,82922049,65151853,1864576,4.100204067271831
T59-469017.ply,469017,153129954,19333127,1922536,4.099075300042429
T60-472242.ply,472242,57585067,19098649,1933984,4.09532400760627
T61-474066.ply,474066,59040978,19796558,1940368,4.093033459476107
T62-479985.ply,479985,61415766,19916138,1960032,4.0835276102378195
T63-489090.ply,489090,60853989,20242525,1951376,3.9898096464863317
T64-496179.ply,496179,60336924,20387528,1994744,4.020210448245492
T65-500874.ply,500874,60882505,20088168,2013776,4.020524123831542
T66-509850.ply,509850,67758142,20919610,2052472,4.025638913405904
T67-513981.ply,513981,106450706,21697738,2065744,4.019105764609976
T68-519507.ply,519507,114701394,21211454,2088008,4.019210520743705
T69-524013.ply,524013,64020522,21465790,2106928,4.020755210271501
T70-528450.ply,528450,65751852,24149571,2127608,4.0261292459078435
T71-534360.ply,534360,65191024,21634951,2152336,4.027876338049255
T72-540042.ply,540042,65193934,21775037,2175840,4.029019965113824
T73-545643.ply,545643,66915205,21703738,2196064,4.02472679022731
T74-550140.ply,550140,79516295,50739473,2213208,4.022990511506162
T75-555045.ply,555045,173738899,23131051,2231624,4.020618148078084
T76-559503.ply,559503,68706331,22824351,2247208,4.016436015535216
T77-563886.ply,563886,69538557,26104372,2264488,4.015861362048358
T78-568503.ply,568503,172755206,110342104,2282640,4.015176700914507
T79-573771.ply,573771,182939543,24652573,2302000,4.012053589323964
T80-579396.ply,579396,72721165,23409482,2323616,4.010410841635082
T81-589647.ply,589647,73409679,24266210,2364696,4.010358740059731
T82-599589.ply,599589,72925711,24983321,2403224,4.008118894776255
T83-607566.ply,607566,82633263,25002447,2438016,4.012759107652502
T84-617799.ply,617799,75427073,28426332,2475880,4.007581753936151
T85-631407.ply,631407,291765732,81472486,2532672,4.011156037231136
T86-645444.ply,645444,178724657,32661321,2585800,4.006234468056098
T87-658929.ply,658929,80002005,26491740,2644560,4.013421779888273
T88-669582.ply,669582,298303507,27400622,2685536,4.010764924983049
T89-678060.ply,678060,83160906,33401932,2713584,4.001982125475622
T90-686640.ply,686640,233852753,28676067,2747512,4.00138646161016
T91-693024.ply,693024,84874168,33714723,2770888,3.9982569146234472
T92-702906.ply,702906,87668843,28108360,2813624,4.0028453306701035
T93-720333.ply,720333,88167395,60715121,2887904,4.009123558132142
T94-734859.ply,734859,93921394,30064197,2948352,4.012132939788449
T95-749175.ply,749175,91342988,29639458,3002232,4.007384122534789
T96-754428.ply,754428,92394089,30317206,3020544,4.003753837344319
T97-756081.ply,756081,92704802,30794446,3026120,4.002375406867783
T98-757587.ply,757587,92184797,30918643,3031376,4.001356939863013
T99-760212.ply,760212,91842907,31970408,3041520,4.000883963946899
T100-769653.ply,769653,96288668,54513192,2972688,3.862374342723279
T101-776637.ply,776637,125897046,31570977,3000120,3.8629630058830573
T102-781332.ply,781332,96404992,31583212,3017480,3.8619690477287505
T103-785247.ply,785247,95563473,32034448,3004352,3.825996151529391
T104-789552.ply,789552,136038981,50766879,2985256,3.780949196506373
T105-794847.ply,794847,107967257,117644339,2997608,3.771301898352765
T106-798909.ply,798909,219314276,31896989,2931024,3.6687833032297794
T107-800172.ply,800172,98122333,106714613,2935336,3.6683812980209254
T108-802155.ply,802155,171006028,65486343,2943584,3.6695950283922683
T109-804510.ply,804510,241345825,126353739,2952568,3.6700202607798538
T110-809352.ply,809352,109496329,33169171,2971104,3.670966402751831
T111-816243.ply,816243,102047734,70721556,2997128,3.6718575228210226
T112-816939.ply,816939,126714987,33744917,2999560,3.671706210622825
T113-817311.ply,817311,287755510,32730927,3000488,3.671170460204255
T114-823959.ply,823959,101213183,32980437,2992728,3.6321321813342653
T115-829941.ply,829941,101214412,33327521,3013680,3.6311978803312526
T116-836160.ply,836160,112116043,137607102,3011536,3.6016264829697664
T117-841356.ply,841356,228933172,144428510,3032000,3.6037063977674135
T118-846534.ply,846534,336511049,55273797,3042824,3.594449838990519
T119-852081.ply,852081,115794284,138044645,3063952,3.5958459348348337
T120-858243.ply,858243,204947267,34085783,3086992,3.596874078786544
T121-867108.ply,867108,106466456,87292888,3123576,3.6022917560442296
T122-878829.ply,878829,194197427,34702712,3167176,3.603859226311376
T123-890541.ply,890541,107740222,122949207,3212504,3.6073622663077836
T124-899727.ply,899727,256912970,35896940,3249872,3.612064548468591
T125-911100.ply,911100,175821949,150419117,3296864,3.618553396992646
T126-918822.ply,918822,244942712,144159201,3324088,3.6177714508359617
T127-926376.ply,926376,183096208,36640615,3350504,3.6167862725286493
T128-933495.ply,933495,122540800,138702326,3374024,3.6143996486322907
T129-939330.ply,939330,455669351,60084290,3393512,3.612694154344054
T130-944607.ply,944607,122951637,121372743,3415056,3.615319386792603
T131-948705.ply,948705,227455588,144872909,3429760,3.615201775051254
T132-953214.ply,953214,262713600,40693230,3446432,3.615591042515112
T133-959028.ply,959028,239580563,130572464,3466248,3.614334513695116
T134-967848.ply,967848,285507287,38211501,3498736,3.61496433324241
T135-978174.ply,978174,122930631,38570770,3536928,3.615847487256868
T136-982014.ply,982014,125069014,37717924,3552376,3.6174392625767045
T137-988440.ply,988440,223772617,146523812,3577024,3.6188579984622233
T138-995679.ply,995679,339723921,161552339,3600704,3.616330162632736
T139-1001412.ply,1001412,209726942,140175257,3621472,3.6163656916433995
T140-1005978.ply,1005978,247794720,142145456,3634360,3.612762903363692
T141-1012098.ply,1012098,202612495,38545725,3654432,3.6107491567022167
T142-1019193.ply,1019193,271630314,170436149,3679680,3.610385864110134
T143-1026543.ply,1026543,232265579,163756408,3698080,3.6024599066965535
T144-1032018.ply,1032018,265630496,162514502,3716768,3.601456563742105
T145-1036593.ply,1036593,276434437,185412239,3732344,3.6005876944953323
T146-1040115.ply,1040115,247490871,41949091,3744264,3.5998557851776005
T147-1044570.ply,1044570,214519316,154860551,3758824,3.5984414639516737
T148-1049775.ply,1049775,252461451,157103914,3776368,3.597311804910576
T149-1055448.ply,1055448,153223805,149661627,3797776,3.5982596963564286
T150-1061754.ply,1061754,164732916,41708568,3820696,3.5984757297829817
T151-1071315.ply,1071315,257692888,41281931,3855176,3.598545712512193
T152-1082628.ply,1082628,133357031,143860714,3895456,3.598148209726702
T153-1093350.ply,1093350,260739422,50907085,3926800,3.5915306169113275
T154-1101384.ply,1101384,135437252,42944537,3953056,3.589171442476012
T155-1107093.ply,1107093,228456399,42803225,3971112,3.586972368175031
T156-1112832.ply,1112832,231936350,95610832,3989280,3.584799861973775
T157-1118841.ply,1118841,179872724,43526950,4009384,3.5835154414255466
T158-1129029.ply,1129029,251920668,164334192,4046248,3.583829999052283
T159-1137168.ply,1137168,275859025,163472597,4071776,3.5806283680159834
T160-1144509.ply,1144509,226114815,44443087,4098480,3.5809941206229046
T161-1152753.ply,1152753,263176545,44339551,4126840,3.579986345730612
T162-1158861.ply,1158861,245918113,160462086,4146960,3.5784792136416708
T163-1166568.ply,1166568,169166659,158472639,4174712,3.5786272210449797
T164-1171344.ply,1171344,176142465,169282197,4191568,3.5784261497903262
T165-1175730.ply,1175730,321403573,165470640,4206640,3.5778962857118555
T166-1181571.ply,1181571,277081847,80320565,4228448,3.57866603022586
T167-1187784.ply,1187784,225964121,52501573,4249472,3.5776471142901403
T168-1195149.ply,1195149,211784578,191100862,4273400,3.575621115024152
T169-1204401.ply,1204401,323890656,48445810,4302408,3.572238814149108
T170-1211295.ply,1211295,191488320,48222278,4326776,3.572024981528034
T171-1216374.ply,1216374,170069110,157622266,4343080,3.5705136742482164
T172-1222080.ply,1222080,321921293,48427161,4363000,3.5701427075150565
T173-1231044.ply,1231044,273427694,183169676,4393768,3.5691396895643046
T174-1244934.ply,1244934,284633852,52072929,4442336,3.56833052997187
T175-1254897.ply,1254897,157900893,49345192,4477136,3.5677318536899842
T176-1261704.ply,1261704,182066918,197749756,4498376,3.565318014367871
T177-1249776.ply,1249776,284552996,50627561,4456512,3.5658486000691325
T178-1256208.ply,1256208,277217714,159112984,4473544,3.5611491090647407
T179-1261797.ply,1261797,281487219,49163193,4492664,3.560528357572573
T180-1265592.ply,1265592,152659914,164655645,4502904,3.5579428441393435
T181-1270899.ply,1270899,277913431,158908823,4519488,3.5561346731722976
T182-1273821.ply,1273821,289621959,49937542,4528232,3.5548416928281132
T183-1275612.ply,1275612,157022676,173023781,4533648,3.5540963866755724
T184-1280682.ply,1280682,278171869,180112188,4552656,3.5548684216690796
T185-1286973.ply,1286973,301056595,171106097,4576064,3.555679878288045
T186-1292199.ply,1292199,202375711,178311289,4595072,3.556009561994708
T187-1299885.ply,1299885,221538448,50810149,4624360,3.5575147032237466
T188-1305225.ply,1305225,203588115,183334846,4640944,3.5556658813614512
T189-1308222.ply,1308222,205898298,51655036,4650352,3.554711662087933
T190-1312620.ply,1312620,167254144,53596501,4664776,3.5537901296643355
T191-1318851.ply,1318851,263304873,172401567,4685056,3.552377031218841
T192-1323738.ply,1323738,198961376,52272267,4707200,3.555990686978843
T193-1329471.ply,1329471,178146822,162967856,4726008,3.554803376681402
T194-1335522.ply,1335522,410173040,53035774,4745784,3.553504921671077
T195-1343466.ply,1343466,161879554,54638072,4772280,3.552214942544136
T196-1365642.ply,1365642,167277510,53998922,4856304,3.5560593479110922
T197-1382424.ply,1382424,169297757,165491795,4918616,3.5579648501472776
T198-1392855.ply,1392855,214177357,174725215,4949544,3.553524236191133
T199-1402758.ply,1402758,185748261,54638858,4982528,3.551951227510376
T200-1413519.ply,1413519,281687512,174082352,5020192,3.5515560809582327
T201-1425195.ply,1425195,184686861,56204255,5061184,3.551222113465175
T202-1439052.ply,1439052,264544722,55199029,5108120,3.549642403471174
T203-1447197.ply,1447197,298186916,173116799,5133960,3.5475197917076944
T204-1460361.ply,1460361,306349887,174850246,5177760,3.5455342891244013
T205-1471077.ply,1471077,351324541,56764839,5212384,3.543243487594463
T206-1476837.ply,1476837,190600141,57879608,5230576,3.5417422504988703
T207-1484307.ply,1484307,210257678,58571712,5255848,3.540944023035666
T208-1498395.ply,1498395,179713202,58610374,5304936,3.540412241097975
T209-1506834.ply,1506834,259019699,185701793,5333096,3.5392724082413856
T210-1517772.ply,1517772,343738970,177007211,5372280,3.539583020374602
T211-1527693.ply,1527693,240285112,195275402,5406384,3.5389204506402794
T212-1536948.ply,1536948,275782842,60937493,5436664,3.5373116071591233
T213-1550346.ply,1550346,192275545,59852622,5476416,3.5323830938384075
T214-1565562.ply,1565562,189180711,60283474,5530584,3.532650894694685
T215-1575432.ply,1575432,213803768,59928559,5560384,3.5294344662289454
T216-1585743.ply,1585743,522503340,187018477,5595264,3.5284809707499893
T217-1596336.ply,1596336,300354293,62086659,5577152,3.4937206202203046
T218-1604169.ply,1604169,202358814,189607687,5605352,3.494240320066028
T219-1612041.ply,1612041,321992799,167605015,5629928,3.492422339134054
T220-1618215.ply,1618215,225944275,190869620,5652528,3.4930636534700272
T221-1624875.ply,1624875,312864443,182091266,5674384,3.4921972459419957
T222-1630674.ply,1630674,255805773,66141901,5697600,3.4940153580666644
T223-1638876.ply,1638876,325208757,63864063,5702384,3.4794481095580143
T224-1646832.ply,1646832,197296361,190625069,5722496,3.4748511080668822
T225-1655745.ply,1655745,222166627,180065018,5719104,3.454097098285062
T226-1668279.ply,1668279,337575267,64695898,5765824,3.4561509196003786
T227-1678155.ply,1678155,319522561,67049193,5805136,3.459237078815723
T228-1684626.ply,1684626,206359439,64310360,5829864,3.4606280563163576
T229-1690575.ply,1690575,217814465,194442044,5848200,3.459296393238987
T230-1703394.ply,1703394,338374100,184239564,5888296,3.456802125638578
T231-1715166.ply,1715166,349851513,190961703,5929144,3.456892219178785
T232-1724808.ply,1724808,266557434,201048922,5958088,3.454348541982644
T233-1732812.ply,1732812,245087258,66633054,5985536,3.454232773087906
T234-1744479.ply,1744479,340751742,184382534,6034424,3.459155426921161
T235-1759239.ply,1759239,346514465,184939933,6087456,3.4602779952013343
T236-1773657.ply,1773657,348354368,233577919,6139968,3.461756134359687
T237-1788840.ply,1788840,358962724,217072864,6198864,3.4652981820621185
T238-1801098.ply,1801098,340983240,71547544,6237400,3.4631097252897955
T239-1816398.ply,1816398,243097465,68670204,6302336,3.4696889117913585
T240-1827090.ply,1827090,253840280,185937692,6306144,3.4514687289624484
T241-1833573.ply,1833573,259060749,78903224,6325968,3.450076980845595
T242-1836837.ply,1836837,260848769,208333725,6334056,3.44834952693135
T243-1842603.ply,1842603,365447504,69663343,6349024,3.445682005293598
T244-1856154.ply,1856154,236918660,183851141,6343728,3.4176733180544288
T245-1872897.ply,1872897,359155399,197709849,6401968,3.41821680530216
T246-1888218.ply,1888218,255975267,203665857,6451792,3.416868179415724
T247-1900464.ply,1900464,363764466,229992161,6490816,3.415384874430665
T248-1909560.ply,1909560,277894181,207214330,6522120,3.4155093319927103
T249-1917123.ply,1917123,403267061,199882494,6544008,3.413452344998208
T250-1923288.ply,1923288,271146941,72793710,6560464,3.4110668812991087
T251-1928544.ply,1928544,333065093,194137040,6577328,3.4105148754708217
T252-1932897.ply,1932897,280482608,199726019,6597872,3.4134627970347102
T253-1940001.ply,1940001,321728646,182956315,6616936,3.4107899944381472
T254-1948452.ply,1948452,431579063,72882966,6639912,3.4077883365871986
T255-1955508.ply,1955508,357001332,75591891,6659712,3.4056173638768032
T256-1959858.ply,1959858,354079720,194261503,6671640,3.404144585985311
T257-1964778.ply,1964778,369631682,74503764,6687064,3.4034705193156682
T258-1968468.ply,1968468,384231661,75143546,6698344,3.402820873897874
T259-1969380.ply,1969380,237942958,73847266,6701320,3.402756197381917
T260-1969797.ply,1969797,373103704,198488188,6702456,3.4026125534763225
