file,bpp,enc_file_size_bits,time_dec_ns,num_points,time_enc_ns,Symmetric Similarity
T0-108.ply,32.148148148148145,3472,3203166,108,2268848,0.999055188717353
T1-330.ply,14.206060606060609,4688,6778865,330,5379192,0.997570265058925
T2-663.ply,11.028657616892913,7312,6827248,663,7456942,0.963822132178342
T3-6474.ply,6.921223354958295,44808,8584859,6474,12372344,0.848192070895234
T4-14646.ply,5.857162365150894,85784,10131603,14646,16662570,0.847943144681099
T5-22557.ply,5.656425943166202,127592,8134493,22557,18369865,0.848071975414996
T6-29352.ply,5.527664213682202,162248,13638874,29352,21413007,0.84813429806969
T7-36276.ply,5.466534347778145,198304,16810782,36276,30824666,0.848189614173811
T8-43107.ply,5.427053610782472,233944,14913780,43107,34270632,0.847880130661588
T9-49209.ply,5.402751529191814,265864,18059099,49209,37664225,0.847552114417381
T10-56673.ply,5.366929578458878,304160,19846912,56673,44710409,0.847568130990778
T11-61752.ply,5.346288379323747,330144,21182778,61752,48466022,0.847849194514076
T12-65622.ply,5.336381091707049,350184,21323350,65622,49686760,0.847812522648893
T13-68307.ply,5.308387134554292,362600,22578692,68307,51889720,0.963323017520831
T14-70731.ply,5.241605519503471,370744,14680936,70731,49314719,0.84758881402848
T15-72540.ply,5.268155500413565,382152,7623865,72540,28641063,0.847456545290809
T16-73674.ply,5.260471808236284,387560,4563457,73674,12610991,0.847281496370031
T17-76368.ply,5.051854179761157,385800,24796645,76368,45683494,0.846951733460113
T18-81102.ply,5.046484673620872,409280,25469772,81102,59365499,0.846799987301741
T19-84468.ply,5.070701330681442,428312,25048638,84468,61169963,0.846875205878628
T20-90489.ply,5.068991811159368,458688,27164394,90489,66859249,0.84676740467748
T21-93429.ply,5.061041004399063,472848,29145005,93429,67156257,0.846724938698066
T22-100032.ply,4.659069097888676,466056,29516653,100032,72594641,0.846725056792329
T23-107892.ply,4.621955288621956,498672,30659415,107892,77078886,0.84661647364603
T24-114063.ply,4.529987813752049,516704,30543516,114063,81003781,0.962852819595722
T25-119310.ply,4.474059173581426,533800,34268332,119310,83295603,0.846662278510771
T26-124314.ply,4.320993612947857,537160,33687772,124314,89169360,0.846585391365732
T27-130161.ply,4.338626777606195,564720,35698244,130161,93462285,0.846414009549763
T28-135693.ply,4.345574200585144,589664,38234862,135693,97135761,0.846148110148986
T29-140832.ply,4.352192683481027,612928,37970078,140832,93429911,0.846054744608279
T30-142128.ply,4.353259034110098,618720,31513039,142128,101047983,0.845889745752899
T31-144435.ply,4.355841728112992,629136,20650651,144435,97891943,0.846142723542459
T32-150201.ply,4.352620821432613,653768,40012944,150201,100494622,0.846193428441888
T33-151785.ply,4.349046348453404,660120,41310307,151785,106005589,0.846181405369784
T34-152709.ply,4.362493369742452,666192,30870978,152709,110713177,0.846091025483859
T35-158031.ply,4.315406470882295,681968,44636004,158031,117024317,0.962580023546309
T36-165531.ply,4.18585038452012,692888,36452284,165531,81675491,0.846090226606787
T37-173520.ply,4.188888888888889,726856,45775500,173520,115953562,0.846139342780206
T38-180618.ply,4.172341627080358,753600,47258077,180618,120139309,0.845915634694958
T39-189489.ply,4.148589100158849,786112,17860905,189489,115043750,0.845728743424409
T40-195714.ply,4.124058575267993,807136,35577934,195714,74171727,0.845882120430094
T41-200697.ply,3.9910910476987698,801000,50779932,200697,132919008,0.846077897316376
T42-207423.ply,3.995391060779181,828736,20605236,207423,130458932,0.846074985552222
T43-214968.ply,4.001042015555804,860096,25182952,214968,148745119,0.845921592253688
T44-221172.ply,3.991138118749209,882728,48892441,221172,71269553,0.845898934955068
T45-227667.ply,3.984240140204773,907080,54910314,227667,145579831,0.846100425791281
T46-235125.ply,3.9188346624136097,921416,53528956,235125,138202195,0.960404508009353
T47-239826.ply,3.91023492031723,937776,60009149,239826,171901700,0.846187880032157
T48-244365.ply,3.9001329977697297,953056,23367170,244365,137006715,0.846217353655202
T49-248994.ply,3.882695968577556,966768,36925098,248994,61677189,0.84632278119286
T50-256269.ply,3.75393044027955,962016,60707387,256269,164512630,0.846097283794016
T51-262260.ply,3.7524593914436055,984120,11509880,262260,93739961,0.846281448733262
T52-269907.ply,3.752522165042033,1012832,11886200,269907,59716186,0.846501684365366
T53-277722.ply,3.7438589668805498,1039752,16033288,277722,78604476,0.846391324589723
T54-285372.ply,3.696928920847175,1055000,36352853,285372,50358844,0.846398335275146
T55-291888.ply,3.6840706024228473,1075336,72426825,291888,198898910,0.846208666665286
T56-300390.ply,3.6980192416525184,1110848,39689500,300390,147250378,0.846200618187762
T57-309435.ply,3.613838124323364,1118248,60988745,309435,165496091,0.960258008729053
T58-317910.ply,3.58795885628008,1140648,52087316,317910,76721646,0.846403306390303
T59-326688.ply,3.608923498873543,1178992,62187945,326688,172457511,0.846443282982196
T60-334227.ply,3.5288830645040647,1179448,63138026,334227,140557542,0.846361944017727
T61-341304.ply,3.500410191500832,1194704,15972540,341304,164788094,0.846215882045717
T62-349215.ply,3.452268659708203,1205584,31086319,349215,46876530,0.846110484742699
T63-356997.ply,3.432947615806296,1225552,85705689,356997,251376014,0.84597062303577
T64-364242.ply,3.4325970096803773,1250296,88432695,364242,254639099,0.845854289239172
T65-371031.ply,3.4106476278262465,1265456,87353398,371031,242001455,0.845562237631938
T66-373494.ply,3.410368038040772,1273752,67347016,373494,212279817,0.845517224489492
T67-377376.ply,3.4074238955312475,1285880,47992538,377376,170845673,0.845313455296474
T68-382914.ply,3.4035840946008764,1303280,23414835,382914,235122253,0.960286633788329
T69-388176.ply,3.3982935575615185,1319136,43335891,388176,80061932,0.843985203386137
T70-389574.ply,3.396243075769944,1323088,16572206,389574,132888523,0.844122820170597
T71-394002.ply,3.394723884650332,1337528,18526333,394002,51097087,0.843678329555861
T72-401310.ply,3.354214946051681,1346080,16563847,401310,52644215,0.843597173937455
T73-410136.ply,3.3454073770651687,1372072,17188675,410136,85917867,0.843523151088696
T74-416496.ply,3.2655487687756906,1360088,81967768,416496,183791541,0.843523709644251
T75-422571.ply,3.2629782924053,1378840,85733524,422571,219343180,0.843821180835288
T76-432636.ply,3.256261614844812,1408776,17898787,432636,187916196,0.843941013828178
T77-441459.ply,3.260769403274143,1439496,20080002,441459,54209099,0.843954519500864
T78-448737.ply,3.258211379939697,1462080,57464797,448737,72911154,0.954671301095391
T79-453990.ply,3.254785347694883,1477640,46071250,453990,123197531,0.954946437494416
T80-459315.ply,3.248559267605021,1492112,85557482,459315,187990025,0.955458763886862
T81-466560.ply,3.1530178326474623,1471072,22981696,466560,185997112,0.995373330558565
T82-474423.ply,3.155378217329261,1496984,19399158,474423,75845709,0.955889766935053
T83-479997.ply,3.141052964914364,1507696,32078894,479997,184073425,0.955551055504111
T84-485592.ply,3.1390632465114745,1524304,69311313,485592,68291524,0.94198002781283
T85-490554.ply,3.137399756194017,1539064,107866107,490554,306637180,0.940546360217742
T86-495705.ply,3.1460808343672144,1559528,80091802,495705,143951160,0.938224916266574
T87-503469.ply,3.14567927717496,1583752,90702586,503469,202732948,0.93598808945542
T88-509583.ply,3.140371637201398,1600280,20412172,509583,167914098,0.929866011184224
T89-514563.ply,3.109885475636608,1600232,21194094,514563,78154049,0.930751422333102
T90-518091.ply,3.094745903711896,1603360,61231830,518091,70428410,0.931181515778574
T91-520899.ply,3.0869707947222014,1608000,76582615,520899,177023736,0.930871130949297
T92-526020.ply,3.087365499410669,1624016,84249588,526020,152185663,0.985613802174683
T93-532395.ply,3.084942570835564,1642408,30070309,532395,175862162,0.930848793365878
T94-536121.ply,3.081185030991138,1651888,74303816,536121,75193494,0.930904849458188
T95-537705.ply,3.07896709162087,1655576,21653673,537705,194862690,0.930957959355662
T96-539520.ply,3.0766162514827995,1659896,22051078,539520,66079488,0.9308021601399
T97-543321.ply,3.074749549529652,1670576,108952144,543321,168550159,0.930714982309125
T98-548904.ply,3.07941643711833,1690304,97319753,548904,230330248,0.929187505134856
T99-553926.ply,3.0815668518899635,1706960,49387087,553926,207024654,0.921034379209193
T100-559836.ply,3.076086568209261,1722104,22414718,559836,184933589,0.920402022575885
T101-566262.ply,3.0736726109115566,1740504,108227846,566262,244809801,0.92032068964487
T102-574992.ply,3.074352338815149,1767728,88612469,574992,138271459,0.917756349340079
T103-583065.ply,3.079135259362164,1795336,97463084,583065,202329414,0.972539171217604
T104-589404.ply,3.076504401055982,1813304,41183558,589404,190734404,0.916816830403535
T105-596406.ply,3.0686210400297784,1830144,87633496,596406,84165939,0.910788020227589
T106-601398.ply,3.063741482346133,1842528,101298592,601398,204332265,0.910958670072694
T107-608688.ply,3.0611939121520386,1863312,40037853,608688,199923059,0.910626423401816
T108-615276.ply,3.065798113367009,1886312,25303306,615276,86756914,0.910683243601711
T109-618990.ply,3.065057593822194,1897240,31001865,618990,75914256,0.910514583491643
T110-621498.ply,3.062754827851417,1903496,44832062,621498,215051302,0.907774918565074
T111-626598.ply,3.0627994344061102,1919144,108631472,626598,209029435,0.907336251121614
T112-631677.ply,3.0641609556782976,1935560,101983070,631677,151229239,0.906117150816122
T113-635799.ply,3.0572429336944538,1943792,109294361,635799,178012563,0.905474583696361
T114-639555.ply,3.0551242660912665,1953920,37923486,639555,149194968,0.969897935774581
T115-647610.ply,3.0608421735303657,1982232,106685774,647610,207327619,0.898634271187729
T116-653757.ply,3.0604765991033367,2000808,122996418,653757,289076735,0.89856327402458
T117-657351.ply,3.0604289032799827,2011776,27443538,657351,169110978,0.89884128422043
T118-664647.ply,3.0559379640621263,2031120,91431883,664647,82637998,0.899074451296468
T119-667470.ply,3.054351506434746,2038688,26830285,667470,188873858,0.894064548811829
T120-672087.ply,3.0537594091241163,2052392,26963773,672087,82924575,0.893411280374745
T121-680001.ply,3.0503602200585,2074248,80289271,680001,83733784,0.894571400429447
T122-682680.ply,3.0512919669537704,2083056,47518303,682680,207692853,0.889473159526132
T123-685710.ply,3.0465823744731737,2089072,120172042,685710,240910121,0.887090165395066
T124-693474.ply,3.041602136489616,2109272,115600550,693474,221549044,0.886994408055539
T125-699822.ply,3.036360674571534,2124912,40003720,699822,154012235,0.967907128440646
T126-704835.ply,3.040007945121908,2142704,69009117,704835,97093537,0.882974888564074
T127-708726.ply,3.040193248166428,2154664,110670443,708726,99125475,0.881113093558967
T128-712161.ply,3.040042911644979,2165000,52547841,712161,245856282,0.879778688450371
T129-717447.ply,3.035820067545059,2178040,116430233,717447,165464670,0.878669037187217
T130-724965.ply,3.035666549419627,2200752,114912556,724965,227045350,0.878860618555558
T131-732873.ply,3.035843863807236,2224888,119289596,732873,223060117,0.875874197306731
T132-738207.ply,3.035007795916321,2240464,29463845,738207,198007276,0.875678330596956
T133-741657.ply,3.028159917589937,2245856,29384032,741657,91766898,0.875347465176544
T134-749604.ply,3.0298024023351,2271152,116444684,749604,100858621,0.875156466539262
T135-757833.ply,3.035718951272906,2300568,125246104,757833,192964619,0.874627360144219
T136-762492.ply,3.035856113900212,2314816,29509658,762492,156247864,0.966290776180651
T137-767739.ply,3.0345208462771853,2329720,128255540,767739,222111780,0.874506234886791
T138-773601.ply,3.030771676872186,2344608,30947960,773601,269136588,0.87435375771477
T139-779703.ply,3.032621395582677,2364544,102457305,779703,95084383,0.87143559194475
T140-785886.ply,3.0324703582962416,2383176,30802432,785886,194292096,0.869602601978225
T141-789534.ply,3.033090405226374,2394728,133473567,789534,220854748,0.865085390893761
T142-795027.ply,3.0337284142551133,2411896,31851877,795027,168328526,0.86544659960095
T143-798534.ply,3.0322065184450504,2421320,31409382,798534,96546507,0.863911185699709
T144-805695.ply,3.034607388652033,2444968,142808580,805695,230210875,0.863638928837335
T145-813138.ply,3.035607732020887,2468368,129120600,813138,174129235,0.863839611248733
T146-815556.ply,3.0343569295057606,2474688,31913569,815556,214962853,0.863651703835281
T147-821283.ply,3.0345496010510384,2492224,32049209,821283,100633888,0.964399184232294
T148-824988.ply,3.0548711011554106,2520232,32446029,824988,290993017,0.863485498781759
T149-830592.ply,3.053754430574819,2536424,32374123,830592,116885686,0.854023663083446
T150-837690.ply,3.05701631868591,2560832,136889248,837690,246225716,0.853580416359458
T151-841986.ply,3.060953507540505,2577280,48776143,841986,246131844,0.853791182787199
T152-847089.ply,3.0661996555261606,2597344,132548084,847089,184877532,0.854006881649116
T153-852129.ply,3.0601188317731234,2607616,33339373,852129,237034118,0.853288234862661
T154-858699.ply,3.059707767215288,2627368,38017957,858699,230766039,0.852782288186641
T155-865581.ply,3.055159482474777,2644488,53255225,865581,195325976,0.852705574077392
T156-875055.ply,3.054272017187491,2672656,142717421,875055,202248371,0.852289418507108
T157-883110.ply,3.0284517217560665,2674456,141148230,883110,241557904,0.851963998520878
T158-890790.ply,3.046482335904085,2713776,135357026,890790,174041277,0.963615277204822
T159-894879.ply,3.0569674782847738,2735616,168696452,894879,381764104,0.851167815366703
T160-888336.ply,3.0521334269915887,2711320,73843348,888336,246328445,0.849573459427702
T161-889185.ply,3.06719524058548,2727304,134387024,889185,199186036,0.849142693676231
T162-890604.ply,3.041387642543712,2708672,147577904,890604,257127811,0.849027523987685
T163-892380.ply,3.053560142540173,2724936,97780339,892380,240798923,0.848614600012489
T164-892788.ply,3.0534460588627983,2726080,144703536,892788,247235653,0.848485523295887
T165-896679.ply,3.0431135333826265,2728696,129159396,896679,150960756,0.848384095831488
T166-904530.ply,3.045471128652449,2754720,36834492,904530,254789230,0.848337405634039
T167-908724.ply,3.0601150624392006,2780800,143336002,908724,111849892,0.848503194015847
T168-911340.ply,3.064094629885663,2792432,35387868,911340,233861906,0.848657916584008
