num_points,file,time_dec_ns,time_enc_ns,enc_file_size_bits,bpp
5175,T0-5175.ply,1893342,5976633,35968,6.950338164251208
14730,T1-14730.ply,3012762,3679898,95744,6.499932111337406
29511,T2-29511.ply,7352725,10722319,182952,6.199451052150046
47790,T3-47790.ply,8790382,21592618,287240,6.010462439840971
61587,T4-61587.ply,7560425,18803906,361200,5.864874080568951
73932,T5-73932.ply,5760486,16802647,416000,5.626792187415463
82506,T6-82506.ply,4421650,12034040,448336,5.433980558989649
89670,T7-89670.ply,4935320,11923813,481352,5.368038362886138
93132,T8-93132.ply,4955343,12537004,497280,5.339518103337199
96567,T9-96567.ply,5251063,12827091,500888,5.186947922168028
98448,T10-98448.ply,5087126,12890157,509184,5.1721111652852265
104037,T11-104037.ply,5402415,15652417,535728,5.149398771590876
115539,T12-115539.ply,5856384,14735203,584592,5.059694129255057
125196,T13-125196.ply,6252467,16794752,621920,4.9675708489089105
132207,T14-132207.ply,6723023,17690510,652168,4.932930934065518
137286,T15-137286.ply,10834372,17791258,659608,4.804626837405125
147120,T16-147120.ply,40177625,81935705,681296,4.630886351277868
157638,T17-157638.ply,39988751,98865149,731056,4.637562009160228
164571,T18-164571.ply,43157530,100332359,761608,4.6278384405514945
168726,T19-168726.ply,38082635,119871481,779080,4.617427071109373
174573,T20-174573.ply,45594021,126326604,808040,4.628665372079302
183324,T21-183324.ply,46568491,120087544,831392,4.535096332176911
195216,T22-195216.ply,44222797,113082073,866776,4.440086878124744
208257,T23-208257.ply,25795956,108268368,921504,4.42484046154511
225081,T24-225081.ply,33942924,44788339,1005312,4.466445412984659
237870,T25-237870.ply,32409339,139018558,1062256,4.465699751965359
247605,T26-247605.ply,20399172,117233302,1104640,4.4612992467841925
255867,T27-255867.ply,59507207,149652428,1140984,4.459285488163773
262026,T28-262026.ply,24957923,161072641,1166952,4.4535733095189025
265305,T29-265305.ply,48850243,95241212,1180120,4.448163434537608
271791,T30-271791.ply,23379302,96296648,1203904,4.429521212990864
285642,T31-285642.ply,12585636,61490285,1266688,4.434529936073827
295611,T32-295611.ply,69523417,158484888,1308952,4.427954304812744
301077,T33-301077.ply,38461993,142118129,1330520,4.419201732447181
304557,T34-304557.ply,15022178,108939344,1344280,4.413886398933533
307242,T35-307242.ply,69941691,155481476,1354848,4.409709610014255
314568,T36-314568.ply,17897719,156272560,1348192,4.285852343531446
320382,T37-320382.ply,13596205,50141972,1375136,4.292176214643769
327219,T38-327219.ply,13803385,49162200,1407864,4.3025129958834905
332808,T39-332808.ply,58259820,71474353,1438352,4.321867262806182
338754,T40-338754.ply,69496548,156100307,1464800,4.324081782060138
343662,T41-343662.ply,68431417,179942368,1486280,4.324830793046656
349719,T42-349719.ply,56667561,120055906,1514752,4.331340304644586
360297,T43-360297.ply,44847735,160459422,1561040,4.332647787797289
375027,T44-375027.ply,17652933,191352138,1622872,4.327347097675634
389937,T45-389937.ply,65512234,185938904,1686888,4.3260526700467
402414,T46-402414.ply,32059120,173750579,1740480,4.32509803336862
415908,T47-415908.ply,18717830,208418182,1802440,4.333746886330631
426903,T48-426903.ply,54942884,184531749,1834400,4.29699486768657
441654,T49-441654.ply,66693781,81505425,1892048,4.284005126184751
453591,T50-453591.ply,78241295,186558270,1908168,4.206803045033962
462555,T51-462555.ply,49893357,182223743,1944496,4.203815762449871
469242,T52-469242.ply,28917087,237181792,1969336,4.196845124690459
474075,T53-474075.ply,101728641,165578250,1986344,4.189936191530876
480234,T54-480234.ply,99079479,285425999,2011072,4.187691833564471
486012,T55-486012.ply,75042717,183980315,2035304,4.187764911154457
492003,T56-492003.ply,44683239,196257560,2058600,4.184120828531533
494814,T57-494814.ply,89579275,197935147,2070904,4.185217071465237
500433,T58-500433.ply,101067732,206343218,2094896,4.186166779568893
510372,T59-510372.ply,20752737,90827714,2119872,4.153582093061532
522372,T60-522372.ply,23436157,63965605,2169632,4.153423230954186
534957,T61-534957.ply,21579891,84242462,2222856,4.155204997784868
544488,T62-544488.ply,44234515,210470466,2255048,4.141593570473546
551583,T63-551583.ply,93079494,240027231,2285656,4.143811538789267
562743,T64-562743.ply,89104895,166882337,2245072,3.989515640354478
569049,T65-569049.ply,91608915,179314374,2271560,3.9918530741640876
578049,T66-578049.ply,98402628,175571541,2311632,3.999024304167986
590469,T67-590469.ply,36460759,187134134,2364688,4.004762316057236
602631,T68-602631.ply,24695835,180984276,2408032,3.995864799520768
620337,T69-620337.ply,25897705,187565556,2478440,3.9953122254516495
637986,T70-637986.ply,94739266,211654686,2550984,3.9984952647863747
656172,T71-656172.ply,70827968,145272798,2618160,3.9900513889650884
669798,T72-669798.ply,109411889,172625996,2678216,3.998542844260508
678960,T73-678960.ply,75509919,161908271,2710960,3.9928125368210203
686130,T74-686130.ply,113896704,168657902,2734800,3.9858335883870404
691176,T75-691176.ply,116309468,206910727,2752184,3.981885945113835
695664,T76-695664.ply,38587767,182132080,2768080,3.9790473561949447
701388,T77-701388.ply,28742502,114643487,2788128,3.9751578299029924
706047,T78-706047.ply,131141419,181033806,2805928,3.9741376990483634
710424,T79-710424.ply,28845215,245648599,2818664,3.9675799241016634
719634,T80-719634.ply,29485202,117135321,2853328,3.9649710825225046
728502,T81-728502.ply,107626941,102481087,2887680,3.9638600854904995
745230,T82-745230.ply,114758717,264112819,2954032,3.9639198636662507
766242,T83-766242.ply,123227442,167981267,3039544,3.966819881969404
780312,T84-780312.ply,126778677,204452259,3095768,3.967346394775423
786927,T85-786927.ply,131908002,231866165,3116200,3.9599607079182695
791178,T86-791178.ply,31260652,208236645,3129696,3.9557419442906654
798111,T87-798111.ply,32130866,174675305,3154800,3.9528336284050716
811284,T88-811284.ply,31611100,98377402,3204680,3.950133368832616
826935,T89-826935.ply,71294162,212715387,3267904,3.951826927146632
839484,T90-839484.ply,52130847,238949268,3317168,3.9514368350081717
848712,T91-848712.ply,137592171,170866127,3353080,3.9507866037006663
857484,T92-857484.ply,63622128,145918319,3379024,3.9406262974003012
867342,T93-867342.ply,34085317,236275809,3412592,3.934540239029126
873087,T94-873087.ply,106709009,104024621,3433088,3.9321258935249292
880953,T95-880953.ply,56891295,190513404,3457936,3.9252218903846177
886953,T96-886953.ply,124397989,136174429,3478568,3.9219304743317855
894534,T97-894534.ply,142410335,172319419,3508152,3.9217648518670054
903522,T98-903522.ply,146493338,242335497,3549600,3.928625977009968
916206,T99-916206.ply,144163829,270149678,3601624,3.9310198798086895
929592,T100-929592.ply,43332421,231477566,3653248,3.929947762028933
942480,T101-942480.ply,48713049,224641515,3696088,3.921661998132586
953982,T102-953982.ply,45850801,125614916,3739120,3.9194869504875354
962652,T103-962652.ply,53538719,239445479,3770744,3.91703751719209
969252,T104-969252.ply,37487830,155623609,3794976,3.915365663418801
974082,T105-974082.ply,130492956,119158671,3811184,3.912590521126558
975831,T106-975831.ply,37522079,156678114,3816912,3.9114477814293664
976170,T107-976170.ply,167424108,236164946,3818000,3.9112039911081062
983427,T108-983427.ply,178869946,290198896,3861560,3.926636140760829
991746,T109-991746.ply,38907700,289462065,3895488,3.9279089605604662
1003470,T110-1003470.ply,40009617,245641254,3933864,3.920260695387007
1009221,T111-1009221.ply,62075697,182421339,3952520,3.9164068127793614
1017246,T112-1017246.ply,40045666,127947507,3981448,3.9139480518969845
1026105,T113-1026105.ply,175847908,390027782,4014416,3.912285779720399
1037940,T114-1037940.ply,39488142,249955374,4060544,3.9121182341946548
1051344,T115-1051344.ply,41284627,139300878,4113656,3.9127592871600543
1064781,T116-1064781.ply,41691643,198009417,4162544,3.909295902162041
1073724,T117-1073724.ply,41727011,132375640,4197256,3.909064154289184
1081455,T118-1081455.ply,160803231,161474685,4224872,3.9066553855685164
1087956,T119-1087956.ply,145891953,175894376,4246008,3.9027387136979805
1097184,T120-1097184.ply,169787220,264910818,4278456,3.8994881441945926
1103817,T121-1103817.ply,170087938,222460690,4302344,3.89769681025025
1108713,T122-1108713.ply,41922748,265677776,4318584,3.89513246439791
1112754,T123-1112754.ply,179645919,141635182,4332760,3.89372673564867
1117254,T124-1117254.ply,149340326,298234636,4347784,3.891491102291869
1123170,T125-1123170.ply,182873351,260867380,4367192,3.8882733691248874
1133790,T126-1133790.ply,169498799,275345858,4407824,3.8876899602219104
1143975,T127-1143975.ply,103656395,311938867,4447616,3.8878611857776613
1153476,T128-1153476.ply,171830874,213019382,4481832,3.885500868678672
1157826,T129-1157826.ply,142184129,308989338,4496384,3.8834712642486866
1161549,T130-1161549.ply,44807200,260141505,4509960,3.8827117926148618
