filedir,num_points_raw,file_size,bpp,enc_time,all_enc_time,dec_time,all_dec_time
../../../FIN-Dataset/hallway/T0-108.ply,0,0,0,0,0,0,0
../../../FIN-Dataset/hallway/T1-330.ply,0,0,0,0,0,0,0,
../../../FIN-Dataset/hallway/T2-663.ply,221,4616,20.887,0.196,0.197,0.178,0.178
../../../FIN-Dataset/hallway/T3-6474.ply,2158,24072,11.155,0.52,0.522,0.423,0.425
../../../FIN-Dataset/hallway/T4-14646.ply,4882,52976,10.851,0.387,0.39,0.329,0.352
../../../FIN-Dataset/hallway/T5-22557.ply,7518,77888,10.36,0.593,0.596,0.389,0.395
../../../FIN-Dataset/hallway/T6-29352.ply,9780,98888,10.111,0.38,0.384,0.347,0.355
../../../FIN-Dataset/hallway/T7-36276.ply,12088,120664,9.982,0.469,0.475,0.359,0.368
../../../FIN-Dataset/hallway/T8-43107.ply,14361,141184,9.831,0.408,0.414,0.482,0.493
../../../FIN-Dataset/hallway/T9-49209.ply,16396,160192,9.77,0.478,0.486,0.381,0.393
../../../FIN-Dataset/hallway/T10-55673.ply,0,0,0,0,0,0,0,
../../../FIN-Dataset/hallway/T16-73674.ply,24551,231880,9.445,0.484,0.495,0.448,0.507
../../../FIN-Dataset/hallway/T17-76368.ply,25449,240600,9.454,0.5,0.511,0.925,0.952
../../../FIN-Dataset/hallway/T18-81102.ply,27023,254896,9.433,0.783,0.795,0.575,0.596
../../../FIN-Dataset/hallway/T19-84468.ply,28149,265480,9.431,0.506,0.518,0.466,0.487
../../../FIN-Dataset/hallway/T20-90489.ply,30151,285440,9.467,0.515,0.529,0.667,0.788
../../../FIN-Dataset/hallway/T21-93429.ply,31131,294576,9.462,0.796,0.871,0.483,0.506
../../../FIN-Dataset/hallway/T22-100032.ply,33336,316104,9.482,0.535,0.549,0.496,0.521
../../../FIN-Dataset/hallway/T23-107892.ply,35952,342216,9.519,0.55,0.565,0.509,0.536
../../../FIN-Dataset/hallway/T24-114063.ply,38010,362760,9.544,0.67,0.686,0.506,0.535
../../../FIN-Dataset/hallway/T25-119310.ply,39760,379160,9.536,0.765,0.781,0.564,0.594
../../../FIN-Dataset/hallway/T26-124314.ply,41427,396528,9.572,0.566,0.583,0.633,0.666
../../../FIN-Dataset/hallway/T27-130161.ply,43370,417760,9.632,0.575,0.594,0.528,0.561
../../../FIN-Dataset/hallway/T28-135693.ply,45218,436552,9.654,0.584,0.602,0.62,0.72
../../../FIN-Dataset/hallway/T29-140832.ply,46934,454808,9.69,0.722,0.819,0.553,0.588
../../../FIN-Dataset/hallway/T39-189489.ply,63144,621704,9.846,0.942,0.968,0.742,0.91
../../../FIN-Dataset/hallway/T30-142128.ply,47360,458888,9.689,0.716,0.738,0.548,0.584
../../../FIN-Dataset/hallway/T31-144435.ply,48136,466912,9.7,0.669,0.689,0.552,0.588
../../../FIN-Dataset/hallway/T32-150201.ply,50058,486168,9.712,0.607,0.627,0.625,0.665
../../../FIN-Dataset/hallway/T33-151785.ply,50580,490880,9.705,0.607,0.63,0.564,0.604
../../../FIN-Dataset/hallway/T34-152709.ply,50890,494456,9.716,0.609,0.63,0.566,0.605
../../../FIN-Dataset/hallway/T35-158031.ply,52665,513472,9.75,0.661,0.683,0.611,0.651
../../../FIN-Dataset/hallway/T36-165531.ply,55160,540656,9.802,0.898,0.921,0.869,1.033
../../../FIN-Dataset/hallway/T37-173520.ply,57823,568944,9.839,1.019,1.046,0.63,0.673
../../../FIN-Dataset/hallway/T38-180618.ply,60186,592728,9.848,0.853,0.877,0.768,0.814
../../../FIN-Dataset/hallway/T40-195714.ply,65216,641272,9.833,0.925,0.974,1.095,1.352
../../../FIN-Dataset/hallway/T41-200697.ply,66883,656984,9.823,0.986,1.017,0.687,0.839
../../../FIN-Dataset/hallway/T42-207423.ply,69125,679576,9.831,0.858,0.886,0.681,0.734
../../../FIN-Dataset/hallway/T43-214968.ply,71631,705136,9.844,0.781,0.81,0.937,0.991
../../../FIN-Dataset/hallway/T44-221172.ply,73711,725896,9.848,0.756,0.787,0.957,1.013
../../../FIN-Dataset/hallway/T45-227667.ply,75866,747688,9.855,0.915,0.946,0.712,0.77
../../../FIN-Dataset/hallway/T46-235125.ply,78352,772144,9.855,0.922,0.954,0.821,1.047
../../../FIN-Dataset/hallway/T47-239826.ply,79924,787056,9.848,1.041,1.075,0.744,0.804
../../../FIN-Dataset/hallway/T48-244365.ply,81433,801608,9.844,0.889,0.922,0.84,1.021
../../../FIN-Dataset/hallway/T49-248994.ply,82970,817608,9.854,1.119,1.153,0.924,1.086
../../../FIN-Dataset/hallway/T50-256269.ply,85400,843600,9.878,0.818,0.854,0.757,0.824
../../../FIN-Dataset/hallway/T51-262260.ply,87406,864528,9.891,1.062,1.097,1.352,1.419
../../../FIN-Dataset/hallway/T52-269907.ply,89945,890968,9.906,0.889,0.927,1.021,1.093
../../../FIN-Dataset/hallway/T53-277722.ply,92551,916496,9.903,0.956,0.994,1.009,1.209
../../../FIN-Dataset/hallway/T54-285372.ply,95101,941480,9.9,1.15,1.19,0.809,0.882
../../../FIN-Dataset/hallway/T55-291888.ply,97265,963664,9.908,1.0,1.04,1.061,1.136
../../../FIN-Dataset/hallway/T56-300390.ply,100102,994032,9.93,1.036,1.079,1.219,1.407
../../../FIN-Dataset/hallway/T57-309435.ply,103111,1026016,9.951,1.008,1.051,1.264,1.343
../../../FIN-Dataset/hallway/T58-317910.ply,105936,1055376,9.962,1.251,1.294,1.021,1.141
../../../FIN-Dataset/hallway/T59-326688.ply,108863,1085008,9.967,1.129,1.235,0.992,1.078
../../../FIN-Dataset/hallway/T60-334227.ply,111382,1109136,9.958,0.987,1.033,1.156,1.247
../../../FIN-Dataset/hallway/T61-341304.ply,113736,1132256,9.955,0.958,1.004,0.97,1.155
../../../FIN-Dataset/hallway/T62-349215.ply,116370,1160192,9.97,1.254,1.301,1.078,1.167
../../../FIN-Dataset/hallway/T63-356997.ply,118966,1186280,9.972,1.004,1.053,0.938,1.027
../../../FIN-Dataset/hallway/T64-364242.ply,121383,1211504,9.981,0.993,1.042,0.938,1.029
../../../FIN-Dataset/hallway/T65-371031.ply,123658,1234856,9.986,1.107,1.155,0.959,1.051
../../../FIN-Dataset/hallway/T66-373494.ply,124468,1241624,9.975,1.269,1.447,0.961,1.056
../../../FIN-Dataset/hallway/T67-377376.ply,125757,1254744,9.978,1.182,1.312,1.113,1.213
../../../FIN-Dataset/hallway/T68-382914.ply,127611,1273736,9.981,1.082,1.269,1.157,1.252
../../../FIN-Dataset/hallway/T69-388176.ply,129354,1289344,9.968,1.275,1.328,1.404,1.501
../../../FIN-Dataset/hallway/T70-389574.ply,129830,1294640,9.972,1.043,1.096,0.99,1.088
../../../FIN-Dataset/hallway/T71-394002.ply,131305,1309752,9.975,1.247,1.301,0.996,1.095
../../../FIN-Dataset/hallway/T72-401310.ply,133742,1335928,9.989,1.065,1.121,1.126,1.227
../../../FIN-Dataset/hallway/T73-410136.ply,136674,1365640,9.992,1.234,1.289,1.027,1.13
../../../FIN-Dataset/hallway/T74-416496.ply,138788,1386184,9.988,1.281,1.338,1.532,1.636
../../../FIN-Dataset/hallway/T75-422571.ply,140818,1408504,10.002,1.114,1.171,1.356,1.5
../../../FIN-Dataset/hallway/T76-432636.ply,144157,1443776,10.015,1.337,1.398,1.373,1.545
../../../FIN-Dataset/hallway/T77-441459.ply,147114,1476096,10.034,1.217,1.292,1.332,1.732
../../../FIN-Dataset/hallway/T78-448737.ply,149533,1501416,10.041,2.002,2.257,1.582,1.707
../../../FIN-Dataset/hallway/T79-453990.ply,151285,1518480,10.037,1.524,1.588,1.186,1.302
../../../FIN-Dataset/hallway/T80-459315.ply,153065,1535544,10.032,1.306,1.369,1.25,1.364
../../../FIN-Dataset/hallway/T81-466560.ply,155478,1560304,10.036,1.178,1.244,1.239,1.428
../../../FIN-Dataset/hallway/T82-474423.ply,158083,1585872,10.032,1.23,1.297,1.477,1.719
../../../FIN-Dataset/hallway/T83-479997.ply,159956,1604760,10.033,1.391,1.457,1.296,1.416
../../../FIN-Dataset/hallway/T84-485592.ply,161819,1622400,10.026,1.218,1.407,1.16,1.412
../../../FIN-Dataset/hallway/T85-490554.ply,163482,1639312,10.027,1.55,1.739,1.16,1.409
../../../FIN-Dataset/hallway/T86-495705.ply,165177,1655576,10.023,1.542,1.61,1.635,1.759
../../../FIN-Dataset/hallway/T87-503469.ply,167780,1681360,10.021,1.628,1.699,1.182,1.313
../../../FIN-Dataset/hallway/T88-509583.ply,169826,1700592,10.014,1.561,1.632,1.19,1.318
../../../FIN-Dataset/hallway/T89-514563.ply,171465,1716160,10.009,1.49,1.56,1.287,1.525
../../../FIN-Dataset/hallway/T90-518091.ply,172648,1724896,9.991,1.423,1.494,1.83,1.96
../../../FIN-Dataset/hallway/T91-520899.ply,173584,1734824,9.994,1.798,1.869,1.784,1.914
../../../FIN-Dataset/hallway/T92-526020.ply,175287,1751024,9.989,1.36,1.431,1.285,1.525
../../../FIN-Dataset/hallway/T93-532395.ply,177421,1770224,9.978,1.35,1.422,1.52,1.658
../../../FIN-Dataset/hallway/T94-536121.ply,178649,1781400,9.972,1.427,1.5,1.342,1.477
../../../FIN-Dataset/hallway/T95-537705.ply,179187,1786184,9.968,1.317,1.392,1.254,1.39
../../../FIN-Dataset/hallway/T96-539520.ply,179791,1793248,9.974,1.465,1.538,1.38,1.544
../../../FIN-Dataset/hallway/T97-543321.ply,181063,1804160,9.964,1.716,1.793,1.267,1.405
../../../FIN-Dataset/hallway/T98-548904.ply,182921,1822392,9.963,1.34,1.416,1.271,1.41
../../../FIN-Dataset/hallway/T99-553926.ply,184589,1841328,9.975,1.905,1.982,1.644,1.897
../../../FIN-Dataset/hallway/T159-894879.ply,298204,2957656,9.918,2.461,2.592,2.246,2.47
../../../FIN-Dataset/hallway/T160-888336.ply,296023,2932976,9.908,2.106,2.362,2.495,2.737
../../../FIN-Dataset/hallway/T161-889185.ply,296326,2939800,9.921,2.277,2.405,2.037,2.26
../../../FIN-Dataset/hallway/T162-890604.ply,296789,2943848,9.919,2.132,2.259,2.034,2.258
../../../FIN-Dataset/hallway/T163-892380.ply,297389,2949160,9.917,2.356,2.483,2.137,2.363
../../../FIN-Dataset/hallway/T164-892788.ply,297513,2949048,9.912,2.111,2.236,2.055,2.393
../../../FIN-Dataset/hallway/T165-896679.ply,298804,2962832,9.916,2.787,2.914,2.454,2.68
../../../FIN-Dataset/hallway/T166-904530.ply,301413,2990000,9.92,2.238,2.367,2.274,2.5
../../../FIN-Dataset/hallway/T167-908724.ply,302813,3005680,9.926,2.322,2.451,2.111,2.338
../../../FIN-Dataset/hallway/T168-911340.ply,303690,3014376,9.926,2.627,2.757,2.308,2.544
