num_points,enc_file_size_bits,time_dec_ns,time_enc_ns,file,bpp
2550,9744,23400029,24547612,T0-2550.ply,3.8211764705882354
13563,47864,32882844,56368445,T1-13563.ply,3.5290127552901276
24081,82296,38693042,68611718,T2-24081.ply,3.4174660520742495
37614,127808,46969426,92185673,T3-37614.ply,3.397883766682618
48780,162280,58209998,116178874,T4-48780.ply,3.326773267732677
58377,190672,61676430,128623445,T5-58377.ply,3.266217859773541
63867,206784,67266094,142156028,T6-63867.ply,3.2377284043402694
67458,217280,69267618,140976144,T7-67458.ply,3.22096712028225
71085,229112,71528389,147869664,T8-71085.ply,3.2230709713723007
75666,243648,74394384,159877936,T9-75666.ply,3.2200459915946396
78525,252520,77418325,166695824,T10-78525.ply,3.2157911493155047
85095,274656,81937671,177470142,T11-85095.ply,3.2276396968094483
90561,291960,86264537,194075347,T12-90561.ply,3.2239043296783385
96936,311896,92243141,204441509,T13-96936.ply,3.2175455970949907
109467,356128,99974351,232619180,T14-109467.ply,3.253290946129884
120135,393952,110231970,250476132,T15-120135.ply,3.279244183626753
130767,429136,114984284,264756466,T16-130767.ply,3.2816842169660543
140880,464624,126214096,293886893,T17-140880.ply,3.2980124929017602
152439,505920,134896852,304859102,T18-152439.ply,3.318835731013717
166962,555544,145974729,350364813,T19-166962.ply,3.3273679040739808
182937,607128,156841351,374764507,T20-182937.ply,3.3187818757277094
193518,639528,166090459,395200336,T21-193518.ply,3.304746845254705
200538,659032,168535424,395329799,T22-200538.ply,3.286319799738703
204687,670424,170177955,402781786,T23-204687.ply,3.2753618940137867
206772,676056,179382369,414001069,T24-206772.ply,3.2695722825140736
207267,677544,172734249,425836978,T25-207267.ply,3.268942957634356
207702,678792,174095523,417360430,T26-207702.ply,3.2681052661986887
209565,683352,175734707,420075712,T27-209565.ply,3.2608116813399186
213033,692416,178565317,428617623,T28-213033.ply,3.2502757788699403
217587,704952,184434184,435302943,T29-217587.ply,3.2398626756194076
221697,716480,194626040,447477206,T30-221697.ply,3.2317983554130185
224214,723512,189890006,441148697,T31-224214.ply,3.2268814614609256
233019,755872,190363596,446509491,T32-233019.ply,3.24382131929156
241311,784568,200284022,494767293,T33-241311.ply,3.251273253187795
249378,811864,205101517,500120784,T34-249378.ply,3.255555822887344
256830,838248,210656316,510468983,T35-256830.ply,3.2638243195888332
263379,861136,215362924,529101410,T36-263379.ply,3.269569707531732
269877,884272,220695065,530074465,T37-269877.ply,3.276574143035531
274713,901016,224916372,545272721,T38-274713.ply,3.279844783464925
279141,915168,229811182,554347732,T39-279141.ply,3.278515159005664
283179,928712,224705085,558543411,T40-283179.ply,3.2795934726798244
287733,944904,229584658,552600775,T41-287733.ply,3.283961172336854
293688,967584,235932024,576211349,T42-293688.ply,3.2945983492686115
304794,1010024,259228047,599841039,T43-304794.ply,3.3137922662519603
317250,1053456,256783722,615029727,T44-317250.ply,3.3205862884160755
327447,1088240,271116234,643870911,T45-327447.ply,3.323408062984239
338292,1126808,284950732,718124090,T46-338292.ply,3.3308739195724404
354018,1184288,291624249,712709575,T47-354018.ply,3.3452762288923164
369408,1239136,297513795,728645564,T48-369408.ply,3.354383229383229
383916,1288408,308472750,759029292,T49-383916.ply,3.3559632836349618
395757,1326320,315508597,768220591,T50-395757.ply,3.35134943917606
403947,1351672,321489925,785322387,T51-403947.ply,3.3461617489423117
408798,1365816,339860541,790815249,T52-408798.ply,3.3410535276591373
411516,1373432,330887621,819801967,T53-411516.ply,3.3374935603961937
416148,1387096,338100900,806908484,T54-416148.ply,3.3331795418937493
426330,1420208,333501754,823410625,T55-426330.ply,3.331241057396852
436425,1451576,349936560,849984026,T56-436425.ply,3.326060606060606
445266,1478864,355304999,861484927,T57-445266.ply,3.321304568505118
454752,1508656,361065413,875117005,T58-454752.ply,3.3175357117725706
469017,1555368,367079994,931234789,T59-469017.ply,3.3162294756906467
472242,1563776,376129406,903871898,T60-472242.ply,3.3113869583815077
474066,1568472,386624431,933876044,T61-474066.ply,3.3085519737758036
479985,1586752,371445992,935830730,T62-479985.ply,3.305836640728356
489090,1618864,379676890,934927836,T63-489090.ply,3.3099511337381666
496179,1642800,394859086,959172569,T64-496179.ply,3.310901912414673
500874,1658448,387542553,958647305,T65-500874.ply,3.311108182896297
509850,1691504,402001021,976995568,T66-509850.ply,3.317650289300775
513981,1705248,405799696,986549948,T67-513981.ply,3.317725752508361
519507,1723744,403823199,999407935,T68-519507.ply,3.318038063009738
524013,1739656,405071140,1002228255,T69-524013.ply,3.3198718352407286
528450,1755096,412091046,1013673391,T70-528450.ply,3.3212148736871985
534360,1775672,419134697,1020093262,T71-534360.ply,3.322988247623325
540042,1795184,416070430,1039960195,T72-540042.ply,3.3241562693272004
545643,1813584,429992352,1044549182,T73-545643.ply,3.323755642425542
550140,1828664,423992569,1046343558,T74-550140.ply,3.3239975279019887
555045,1844712,425674974,1060457549,T75-555045.ply,3.3235359295192284
559503,1858224,433646245,1064618353,T76-559503.ply,3.3212047120390777
563886,1871776,437857653,1060390443,T77-563886.ply,3.3194227201952167
568503,1886616,435435911,1086144177,T78-568503.ply,3.318568239745437
573771,1903768,434742271,1070336729,T79-573771.ply,3.3179927183493065
579396,1922744,445827291,1089212102,T80-579396.ply,3.3185317123349143
589647,1958728,458823367,1140753582,T81-589647.ply,3.321865455094319
599589,1991568,485377682,1164700026,T82-599589.ply,3.3215552653567695
607566,2017496,477580578,1167630513,T83-607566.ply,3.320620311208988
617799,2053856,489432247,1187506412,T84-617799.ply,3.3244728463464654
631407,2102984,487289829,1223122543,T85-631407.ply,3.3306314310737766
645444,2150552,503248030,1248006054,T86-645444.ply,3.331895563364134
658929,2193696,511457948,1278598393,T87-658929.ply,3.329184176140373
669582,2226672,531389752,1281320719,T88-669582.ply,3.325465738326299
678060,2253680,527693058,1311077872,T89-678060.ply,3.3237176651033833
686640,2281920,537662938,1323537982,T90-686640.ply,3.3233135267389025
693024,2300880,533417695,1326727253,T91-693024.ply,3.3200581798032966
702906,2334464,545710582,1362840447,T92-702906.ply,3.3211610087266292
720333,2397160,554197400,1390875589,T93-720333.ply,3.32784975837564
734859,2444848,583576754,1434801838,T94-734859.ply,3.3269620430586
749175,2490872,582785681,1439886394,T95-749175.ply,3.3248199686321622
754428,2505864,579569708,1457858563,T96-754428.ply,3.3215416182856417
756081,2509856,592275369,1447112047,T97-756081.ply,3.3195596768071147
757587,2513872,592710185,1452586094,T98-757587.ply,3.3182617969949324
760212,2522152,578951118,1419427992,T99-760212.ply,3.3176955901774767
769653,2557016,575774900,1453867257,T100-769653.ply,3.322297191071821
776637,2580608,593947044,1583996076,T101-776637.ply,3.3227981669686097
781332,2595752,596383384,1517586238,T102-781332.ply,3.3222138604332088
785247,2608480,596266144,1601011250,T103-785247.ply,3.321859236647832
789552,2620976,630355943,1552378083,T104-789552.ply,3.319573631629076
794847,2638568,632748349,1557955243,T105-794847.ply,3.3195923240573344
798909,2652336,640120507,1559835410,T106-798909.ply,3.319947578510193
800172,2656096,608559311,1630625644,T107-800172.ply,3.3194063276395576
802155,2662592,602290143,1569436288,T108-802155.ply,3.3192986392904116
804510,2670664,629752431,1516620276,T109-804510.ply,3.3196156666790966
809352,2687152,627262981,1584728660,T110-809352.ply,3.3201277071039548
816243,2710256,639460540,1576304029,T111-816243.ply,3.32040336027384
816939,2712432,616801690,1590118529,T112-816939.ply,3.320238108353255
817311,2713304,618699239,1563636810,T113-817311.ply,3.319793811657986
823959,2736024,630710798,1559970905,T114-823959.ply,3.3205826988964255
829941,2755152,642309993,1553369603,T115-829941.ply,3.3196962193698107
836160,2777392,690251783,1645322830,T116-836160.ply,3.321603520857252
841356,2796376,652076762,1692267369,T117-841356.ply,3.3236537208981694
846534,2815064,667959582,1670016976,T118-846534.ply,3.3253998067413715
852081,2834824,675478103,1639640032,T119-852081.ply,3.3269419221881487
858243,2856712,653019270,1624180486,T120-858243.ply,3.3285584618808426
867108,2887160,651185380,1666540956,T121-867108.ply,3.329642904920725
878829,2928528,655127054,1734147990,T122-878829.ply,3.3323069675670696
890541,2971536,663482004,1750317978,T123-890541.ply,3.3367761843643358
899727,3005400,667792038,1703340208,T124-899727.ply,3.340346571793444
911100,3046472,676031191,1724247411,T125-911100.ply,3.3437295576775328
918822,3072200,693197358,1742793566,T126-918822.ply,3.3436291251189023
926376,3096504,700720798,1749350303,T127-926376.ply,3.3425995492111196
933495,3118600,742015401,1879894992,T128-933495.ply,3.3407784723003338
939330,3137072,730478122,1815195312,T129-939330.ply,3.3396910563912576
944607,3154248,751852992,1859352353,T130-944607.ply,3.339217261781884
948705,3166712,722316744,1836254010,T131-948705.ply,3.337931179871509
953214,3180784,720214200,1847309335,T132-953214.ply,3.336904409712824
959028,3199336,743270575,1906753769,T133-959028.ply,3.3360193862952907
967848,3228912,789386610,1916395182,T134-967848.ply,3.336176755027649
978174,3263344,761799608,1918405713,T135-978174.ply,3.3361590064753304
982014,3277096,769318009,1913313542,T136-982014.ply,3.337117393438383
988440,3299184,757199700,1965788344,T137-988440.ply,3.337768605074663
995679,3323232,774573236,1981478192,T138-995679.ply,3.3376540029467328
1001412,3341296,774845927,1925904718,T139-1001412.ply,3.3365847423438106
1005978,3355600,769902365,1930636603,T140-1005978.ply,3.335659427939776
1012098,3375088,821066869,1957043953,T141-1012098.ply,3.3347442638953937
1019193,3398088,791485497,2046174786,T142-1019193.ply,3.3340966823751734
1026543,3424368,777964547,2075305453,T143-1026543.ply,3.3358251919305864
1032018,3442376,824227547,2093341692,T144-1032018.ply,3.3355774802377476
1036593,3457048,785809941,2017604099,T145-1036593.ply,3.3350099798088544
1040115,3467888,812954695,2007008796,T146-1040115.ply,3.3341390134744717
1044570,3481824,846577487,2098653905,T147-1044570.ply,3.3332605761222323
1049775,3498816,831334808,2254983236,T148-1049775.ply,3.3329199114095878
1055448,3518256,825361204,2160707703,T149-1055448.ply,3.333424289969757
1061754,3539824,816246158,2087747499,T150-1061754.ply,3.3339398768452955
1071315,3572616,814576827,2183812329,T151-1071315.ply,3.3347950882793578
1082628,3608792,818052265,2134473980,T152-1082628.ply,3.333362891039212
1093350,3641904,826483950,2244969113,T153-1093350.ply,3.3309589792838525
1101384,3667216,828327527,2188058282,T154-1101384.ply,3.3296434304475095
1107093,3684016,844417165,2147962909,T155-1107093.ply,3.327648174091969
1112832,3701128,874937538,2184029846,T156-1112832.ply,3.325864101679319
1118841,3718928,882248973,2183389295,T157-1118841.ply,3.3239110829867693
1129029,3753376,867753745,2230249556,T158-1129029.ply,3.3244283362074847
1137168,3780248,866507738,2324718451,T159-1137168.ply,3.324265192126405
1144509,3805088,901090020,2243470463,T160-1144509.ply,3.3246466388643516
1152753,3831504,861730608,2256091916,T161-1152753.ply,3.323785754623931
1158861,3851000,885561776,2341160841,T162-1158861.ply,3.323090517326927
1166568,3876384,896149955,2290371621,T163-1166568.ply,3.3228958791943546
1171344,3891456,875241549,2327741081,T164-1171344.ply,3.322214481826005
1175730,3904928,910158820,2340414941,T165-1175730.ply,3.321279545473876
1181571,3923464,898819461,2306386017,T166-1181571.ply,3.320548659369602
1187784,3943192,900461852,2324066238,T167-1187784.ply,3.319788783145757
1195149,3966680,916711760,2463442362,T168-1195149.ply,3.318983658104554
1204401,3996024,918991897,2391199683,T169-1204401.ply,3.317851778601977
1211295,4018888,915761288,2383883701,T170-1211295.ply,3.317844125502045
1216374,4034736,928672384,2432671177,T171-1216374.ply,3.317019272033108
1222080,4052848,971918165,2458803420,T172-1222080.ply,3.316352448284891
1231044,4082560,947560350,2423858568,T173-1231044.ply,3.3163396271782326
1244934,4130336,936705991,2446293287,T174-1244934.ply,3.317714834681999
1254897,4163040,931048691,2378446784,T175-1254897.ply,3.3174356142376626
1261704,4185072,933400943,2422666262,T176-1261704.ply,3.3169998668467406
1249776,4119768,963077213,2363846560,T177-1249776.ply,3.296405115796751
1256208,4138592,927516736,2350273311,T178-1256208.ply,3.294511736909811
1261797,4156088,918409214,2375259195,T179-1261797.ply,3.2937849749206887
1265592,4169704,949250029,2370735761,T180-1265592.ply,3.294666843658936
1270899,4189248,955623624,2392832195,T181-1270899.ply,3.29628711644277
1273821,4197112,949542387,2393080761,T182-1273821.ply,3.294899361841263
1275612,4201960,951328858,2403241469,T183-1275612.ply,3.294073746562434
1280682,4219240,965262993,2407306323,T184-1280682.ply,3.2945258854266712
1286973,4240688,941586475,2461074219,T185-1286973.ply,3.295086998717145
1292199,4258144,957359299,2470651393,T186-1292199.ply,3.2952695366580533
1299885,4285072,953483259,2447161415,T187-1299885.ply,3.296500844305458
1305225,4303136,957526722,2455936483,T188-1305225.ply,3.2968537991534026
1308222,4312368,987776549,2481051899,T189-1308222.ply,3.296357957594353
1312620,4325928,967395253,2501930700,T190-1312620.ply,3.2956438268501165
1318851,4345472,974920276,2527157345,T191-1318851.ply,3.2948922964004272
1323738,4359536,983308208,2535302902,T192-1323738.ply,3.293352612072782
1329471,4377088,1021035600,2723309507,T193-1329471.ply,3.292353123911691
1335522,4396400,994689605,2537377704,T194-1335522.ply,3.2918963521379654
1343466,4421400,984135069,2547032673,T195-1343466.ply,3.2910397434695033
1365642,4502416,1004939951,2626690619,T196-1365642.ply,3.296922619544507
1382424,4559224,1033079389,2627004848,T197-1382424.ply,3.2979925117040794
1392855,4590720,1032859045,2680870859,T198-1392855.ply,3.295906609087091
1402758,4620960,1039701810,2715451889,T199-1402758.ply,3.2941961478744015
1413519,4655888,1051278544,2702198832,T200-1413519.ply,3.293827674053196
1425195,4694376,1068577008,2736479869,T201-1425195.ply,3.293848210244914
1439052,4740216,1064627861,2743065762,T202-1439052.ply,3.293985206927894
1447197,4764104,1071271982,2792443815,T203-1447197.ply,3.2919526505375565
1460361,4805184,1093483353,2815237937,T204-1460361.ply,3.2904083305429275
1471077,4837696,1083997691,2811650669,T205-1471077.ply,3.288540300745644
1476837,4854584,1107804814,2840327876,T206-1476837.ply,3.2871494958482215
1484307,4877576,1115712244,2858607391,T207-1484307.ply,3.2860964746511336
1498395,4923688,1127853296,2870982241,T208-1498395.ply,3.2859746595523878
1506834,4949952,1108516368,2894619976,T209-1506834.ply,3.285001533015581
1517772,4987496,1144302840,2926037422,T210-1517772.ply,3.2860640465102797
1527693,5018664,1136853637,2922640962,T211-1527693.ply,3.2851260037193337
1536948,5047536,1134925431,2922853560,T212-1536948.ply,3.2841293264313434
1550346,5092808,1160627968,3016569645,T213-1550346.ply,3.28494929518959
1565562,5140928,1197892572,3007724174,T214-1565562.ply,3.2837588035478635
1575432,5171608,1185369043,3024347492,T215-1575432.ply,3.2826602481097247
1585743,5204928,1173058533,3054873577,T216-1585743.ply,3.2823275902841758
1596336,5239144,1214878691,3134016797,T217-1596336.ply,3.281980735885177
1604169,5266288,1186971478,3111238735,T218-1604169.ply,3.282876056076386
1612041,5291056,1187268776,3128317468,T219-1612041.ply,3.2822093234601355
1618215,5309544,1199312425,3137513766,T220-1618215.ply,3.281111595183582
1624875,5329896,1201077756,3340437369,T221-1624875.ply,3.280188322178629
1630674,5347896,1193704687,3166751935,T222-1630674.ply,3.279561702706979
1638876,5374984,1213826317,3437084419,T223-1638876.ply,3.2796770469516914
1646832,5401376,1252285260,3283239188,T224-1646832.ply,3.2798585405190086
1655745,5432528,1261026966,3386391270,T225-1655745.ply,3.2810173064088977
1668279,5475152,1268235016,3396888127,T226-1668279.ply,3.2819162741963424
1678155,5509128,1268966708,3346757363,T227-1678155.ply,3.2828481278546975
1684626,5528400,1309553653,3529311901,T228-1684626.ply,3.2816779510704452
1690575,5545552,1319429887,3445724575,T229-1690575.ply,3.2802756458601365
1703394,5585304,1293093631,3657729751,T230-1703394.ply,3.2789266605377265
1715166,5621368,1311113228,3521445608,T231-1715166.ply,3.2774483635986256
1724808,5649376,1315274733,3511750493,T232-1724808.ply,3.275365142091178
1732812,5675136,1305180481,3517413876,T233-1732812.ply,3.2751019729780264
1744479,5714456,1316229775,3533771135,T234-1744479.ply,3.2757379137266773
1759239,5764000,1303398468,3525570745,T235-1759239.ply,3.2764166778931116
1773657,5811856,1338173151,3601726110,T236-1773657.ply,3.2767643349305984
1788840,5862360,1366989549,3636740093,T237-1788840.ply,3.2771852149996645
1801098,5902144,1396139753,3780720001,T238-1801098.ply,3.27696993722718
1816398,5953920,1355759556,3686415264,T239-1816398.ply,3.2778719201408504
1827090,5987128,1405081815,3683862266,T240-1827090.ply,3.276865397982584
1833573,6005272,1385464731,3779630538,T241-1833573.ply,3.2751747544275576
1836837,6008952,1394269275,3738110753,T242-1836837.ply,3.271358318674983
1842603,6027240,1408827912,3749803124,T243-1842603.ply,3.2710464489637756
1856154,6072352,1376908533,3760774642,T244-1856154.ply,3.271469931912977
1872897,6128224,1418806126,3765969325,T245-1872897.ply,3.2720560714230413
1888218,6176696,1491149803,3836389444,T246-1888218.ply,3.2711773746463595
1900464,6212760,1442641221,3825462290,T247-1900464.ply,3.269075341600788
1909560,6240560,1424093834,3821927500,T248-1909560.ply,3.2680617524455897
1917123,6262328,1442068707,3876045182,T249-1917123.ply,3.2665238484958974
1923288,6280048,1459053935,3918220216,T250-1923288.ply,3.2652665643418977
1928544,6294832,1493762223,4058242982,T251-1928544.ply,3.264033384771102
1932897,6307848,1484757905,3970350712,T252-1932897.ply,3.2634165193489357
1940001,6329672,1484249652,4035913611,T253-1940001.ply,3.262715843960905
1948452,6354464,1484217802,4028731310,T254-1948452.ply,3.261288448470889
1955508,6374296,1462620404,3962223478,T255-1955508.ply,3.2596624508823284
1959858,6386768,1496520738,3994425837,T256-1959858.ply,3.2587911981378244
1964778,6401112,1440098602,4121572382,T257-1964778.ply,3.257931430421147
1968468,6412664,1465022490,3890067813,T258-1968468.ply,3.2576927844394725
1969380,6415568,1489923584,3983472362,T259-1969380.ply,3.257658755547431
1969797,6416736,1492820257,4109522882,T260-1969797.ply,3.2575620736553055
