num_points,enc_file_size_bits,time_dec_ns,time_enc_ns,bpp,file
8328,31880,43658715,23571241,3.8280499519692603,T0-8328.ply
23427,84040,97091047,163523521,3.5873137832415587,T1-23427.ply
30933,106992,33030868,148326932,3.45883037532732,T2-30933.ply
40257,138528,24547921,71474662,3.441090990386765,T3-40257.ply
47427,161592,27569204,61911643,3.4071731292301854,T4-47427.ply
54780,185088,30659468,226132169,3.378751369112815,T5-54780.ply
59004,197256,32577979,75096197,3.3430953833638397,T6-59004.ply
69972,233696,37301582,127962503,3.3398502258046077,T7-69972.ply
84201,283416,59021268,250685476,3.365945772615527,T8-84201.ply
99894,339632,174322470,231932701,3.399923919354516,T9-99894.ply
113967,388120,104153524,186237975,3.405547219809243,T10-113967.ply
131043,444544,165831395,385491161,3.3923521286905824,T11-131043.ply
148431,501944,163709770,174917662,3.3816655550390418,T12-148431.ply
163482,552088,234668928,212127433,3.3770568013603945,T13-163482.ply
179700,609232,87840071,381119138,3.3902726766833613,T14-179700.ply
198267,671400,230664241,484774671,3.386342659141461,T15-198267.ply
216339,731568,173486172,256975134,3.3815816843010276,T16-216339.ply
230022,773584,110871204,635390190,3.363087009068698,T17-230022.ply
238572,798368,114365735,400114705,3.346444679174421,T18-238572.ply
245931,821368,222497673,516470722,3.339831090834421,T19-245931.ply
253812,845824,206875081,380887016,3.332482309741068,T20-253812.ply
261024,867376,211864237,513040717,3.3229741326468063,T21-261024.ply
268314,889848,242620665,406729161,3.316442675372884,T22-268314.ply
270435,895480,258050528,400591167,3.3112577883779837,T23-270435.ply
278226,922056,252171313,399419087,3.314054042397188,T24-278226.ply
289233,960264,148930603,350084665,3.320036095466285,T25-289233.ply
294417,977032,401185248,350947660,3.318531198945713,T26-294417.ply
301719,1001056,256080517,405625440,3.3178420981111563,T27-301719.ply
320094,1069896,149759778,542065254,3.3424431573225366,T28-320094.ply
336429,1127360,159151969,489694859,3.350959637843349,T29-336429.ply
350622,1174736,307068387,434462707,3.3504343709179687,T30-350622.ply
365175,1221376,171044622,446358466,3.344632025741083,T31-365175.ply
377412,1261352,175970093,448105566,3.3421088889595456,T32-377412.ply
396552,1329680,186200975,628184754,3.3531037543626057,T33-396552.ply
411756,1378568,192396154,489430581,3.348021643886185,T34-411756.ply
418098,1397280,404615768,690825532,3.3419915904883544,T35-418098.ply
424671,1417352,195485665,613140156,3.3375295228541626,T36-424671.ply
429597,1431808,312994381,512130940,3.3329096804679734,T37-429597.ply
434595,1446592,217758371,508799368,3.3285978899895303,T38-434595.ply
445407,1479624,327396267,589794138,3.3219594662858913,T39-445407.ply
457323,1515240,336073206,528192798,3.313281859867096,T40-457323.ply
468123,1548008,340853722,749585661,3.3068402962469268,T41-468123.ply
475410,1568192,257151736,569720502,3.298609621169096,T42-475410.ply
483501,1591032,249023506,586391130,3.290648830095491,T43-483501.ply
493503,1620808,308699397,645567114,3.284292091436121,T44-493503.ply
503343,1653288,382825559,808068184,3.2846150636842073,T45-503343.ply
511395,1677840,357021883,923477416,3.2809081043029362,T46-511395.ply
522258,1713512,324730335,862628784,3.2809684102493404,T47-522258.ply
531960,1742952,365034954,718074163,3.2764719151815926,T48-531960.ply
535677,1753664,243991211,763696754,3.2737339852187044,T49-535677.ply
538530,1761560,374297165,638120106,3.2710526804449147,T50-538530.ply
539571,1764064,278730416,827696145,3.269382527971296,T51-539571.ply
542820,1773616,379755178,641447633,3.267410928116134,T52-542820.ply
547500,1788696,375792160,649792604,3.2670246575342468,T53-547500.ply
551079,1799456,428537467,759945489,3.265332193750805,T54-551079.ply
557337,1819832,379231838,835293179,3.2652273220690535,T55-557337.ply
562299,1834344,381119618,837065744,3.2622217005543312,T56-562299.ply
571089,1863256,382042850,723920478,3.262636821931433,T57-571089.ply
583140,1905232,261918914,805830487,3.2671948417189696,T58-583140.ply
594009,1940696,440226406,774833391,3.2671154814152645,T59-594009.ply
599424,1957216,389607359,854647770,3.2651612214392483,T60-599424.ply
607023,1981064,396683556,874270525,3.263573208922891,T61-607023.ply
620898,2027416,282456732,870791340,3.2652963932884305,T62-620898.ply
633828,2068688,401755249,1024756428,3.2638002738913396,T63-633828.ply
640776,2090328,402446230,960249085,3.262182104198659,T64-640776.ply
644313,2100408,290498997,759520525,3.2599187041080966,T65-644313.ply
652629,2125448,426723759,991337532,3.2567477081159435,T66-652629.ply
660327,2151424,427886065,1010347006,3.2581190834238187,T67-660327.ply
673464,2196288,556506677,997517883,3.2611809985388973,T68-673464.ply
691992,2257752,512555766,1591023896,3.262685117747026,T69-691992.ply
714483,2336256,552582872,1266052734,3.2698552659755378,T70-714483.ply
735696,2408536,332923507,931130922,3.2738196211478656,T71-735696.ply
757485,2480920,544029197,1073175286,3.2752067697710188,T72-757485.ply
770325,2519128,409347512,1014323972,3.2702145198455197,T73-770325.ply
777213,2539392,363452070,1139261482,3.2673051016902703,T74-777213.ply
785079,2562472,587445669,1368328364,3.263967065734786,T75-785079.ply
794289,2590416,478958450,1101511314,3.2613016169177715,T76-794289.ply
803238,2619304,545062900,1072972567,3.260931380238485,T77-803238.ply
808878,2637088,479090631,1255445609,3.260180150776755,T78-808878.ply
818865,2667768,371974603,974236928,3.2578849993588688,T79-818865.ply
829728,2699824,688664370,1464904003,3.253866327278337,T80-829728.ply
839238,2728304,570902882,1606345175,3.2509300103188847,T81-839238.ply
847653,2754608,412845006,1081056670,3.2496882568692613,T82-847653.ply
851487,2766704,380897467,1076041001,3.249261585907947,T83-851487.ply
858111,2788096,581905160,1029122002,3.2491087982790106,T84-858111.ply
864468,2807520,827998799,1440613351,3.247685281583587,T85-864468.ply
868341,2820256,822995998,1486083648,3.247866909428439,T86-868341.ply
876081,2845496,397406287,1034025245,3.247982777848167,T87-876081.ply
892290,2898336,490243902,1080509672,3.2481995763709106,T88-892290.ply
903684,2936032,404380081,1162216508,3.248958706804591,T89-903684.ply
910038,2954544,400002377,1209168815,3.246616075372677,T90-910038.ply
914850,2968744,529231701,1190073274,3.245060938951741,T91-914850.ply
921216,2988600,485540680,1449906080,3.2441902876198414,T92-921216.ply
928971,3010672,666093307,1346378902,3.240867583595182,T93-928971.ply
938901,3041480,420569844,1369342556,3.239404367446621,T94-938901.ply
951735,3084272,659069976,1668283058,3.2406835936473914,T95-951735.ply
964629,3127824,435048863,1397254829,3.2425149979940473,T96-964629.ply
973563,3154672,590504980,1158351014,3.240336783546622,T97-973563.ply
981783,3178888,436705472,1174522686,3.2378723200544317,T98-981783.ply
986343,3192648,501483021,1274681579,3.2368537111329427,T99-986343.ply
990075,3203976,544498682,1330654543,3.2360942352852056,T100-990075.ply
996000,3220768,563762732,1180371966,3.2337028112449797,T101-996000.ply
1003683,3242936,438801848,1685534747,3.2310360940655567,T102-1003683.ply
1011159,3263704,479303544,1199571587,3.227686249145782,T103-1011159.ply
1020270,3290960,452131042,1194995819,3.225577543199349,T104-1020270.ply
1035426,3339400,455286742,1420700190,3.2251459785634125,T105-1035426.ply
1042449,3359096,493262093,1429235529,3.2223120747393876,T106-1042449.ply
1053144,3394800,650929504,1395413006,3.223490804676284,T107-1053144.ply
1057554,3407816,535102248,1348959942,3.2223564943255854,T108-1057554.ply
1065120,3431016,471469225,1270825413,3.221248310049572,T109-1065120.ply
1071159,3449400,463505539,1678541505,3.2202502149540826,T110-1071159.ply
1075725,3462888,499446704,1273834792,3.219120128285575,T111-1075725.ply
1079748,3474136,522368600,1314822051,3.2175433527082244,T112-1079748.ply
1082175,3480648,472122134,1367519629,3.2163448610437313,T113-1082175.ply
1082778,3482104,567846154,1592919039,3.2158983651311717,T114-1082778.ply
1085112,3488432,752976609,1378503335,3.21481284881192,T115-1085112.ply
1087941,3495696,472546205,1499321701,3.213130123784286,T116-1087941.ply
1091295,3504728,594741782,1419688922,3.211531254152177,T117-1091295.ply
1092495,3507832,751880077,1298369168,3.210844900891995,T118-1092495.ply
